data_kind,metric,period,plan,cohort,source_count,target_count,source_value,target_value,source_unit,target_unit,source_time_basis,target_time_basis,source_denominator,target_denominator,source_filters,target_filters,delta,absolute_tolerance,relative_change_pct,status,needs_review,reasons,definition_changes
synthetic,allowed_cost,2024,PPO,All enrolled,1,1,4932374.6400,4932374.6400,USD,USD,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,allowed_cost,2024,PPO,Continuous enrollment,1,1,3454037.1600,3454037.1600,USD,USD,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,allowed_cost,2025,HDHP,All enrolled,1,1,4491884.4000,4491884.4000,USD,USD,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,allowed_cost,2025,HDHP,Continuous enrollment,1,1,3866068.8000,3866068.8000,USD,USD,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,allowed_cost,2025,PPO,All enrolled,1,1,5668883.5200,not_available,USD,USD,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,,0.01,,invalid_value,True,invalid_value,[]
synthetic,allowed_cost,2025,PPO,Continuous enrollment,1,1,2519712.0000,2519712.0000,USD,USD,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,member_months,2024,HDHP,All enrolled,1,1,6102,6102,member-months,member-months,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0,0,0.0000,exact_match,False,,[]
synthetic,member_months,2024,HDHP,Continuous enrollment,1,1,4188,4188,member-months,member-months,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0,0,0.0000,exact_match,False,,[]
synthetic,member_months,2024,PPO,All enrolled,1,1,7032,7032,member-months,member-months,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0,0,0.0000,exact_match,False,,[]
synthetic,member_months,2024,PPO,Continuous enrollment,1,1,5124,5124,member-months,member-months,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0,0,0.0000,exact_match,False,,[]
synthetic,member_months,2025,HDHP,All enrolled,1,1,6210,6210,member-months,member-months,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0,0,0.0000,exact_match,False,,[]
synthetic,member_months,2025,HDHP,Continuous enrollment,1,1,5280,5280,member-months,member-months,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0,0,0.0000,exact_match,False,,[]
synthetic,member_months,2025,PPO,All enrolled,1,0,5712,,member-months,,incurred_calendar_year,,not_applicable,,providers=all;status=eligible,,,,,missing_target,True,missing_target,[]
synthetic,member_months,2025,PPO,Continuous enrollment,1,1,2496,2496,member-months,member-months,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0,0,0.0000,exact_match,False,,[]
synthetic,member_months,2026,PPO,All enrolled,0,1,,4800,,member-months,,incurred_calendar_year,,not_applicable,,providers=all;status=eligible,,,,unexpected_target,True,unexpected_target,[]
synthetic,members_with_episode_pct,2024,HDHP,All enrolled,1,1,29.9401,29.9401,percent,percent,incurred_calendar_year,incurred_calendar_year,enrolled_members,enrolled_members,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,members_with_episode_pct,2024,HDHP,Continuous enrollment,1,1,36.1032,36.1032,percent,percent,incurred_calendar_year,incurred_calendar_year,enrolled_members,enrolled_members,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,members_with_episode_pct,2024,PPO,All enrolled,1,1,8.8591,8.8591,percent,percent,incurred_calendar_year,incurred_calendar_year,enrolled_members,enrolled_members,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,members_with_episode_pct,2024,PPO,Continuous enrollment,1,1,12.6464,12.6464,percent,percent,incurred_calendar_year,incurred_calendar_year,enrolled_members,enrolled_members,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,members_with_episode_pct,2025,HDHP,All enrolled,1,1,40.8403,0.408403,percent,proportion,incurred_calendar_year,incurred_calendar_year,enrolled_members,enrolled_members,providers=all;status=eligible,providers=all;status=eligible,,0.01,,definition_mismatch,True,definition_mismatch; unit_policy_mismatch,"[{""field"": ""unit"", ""source"": ""percent"", ""target"": ""proportion""}]"
synthetic,members_with_episode_pct,2025,HDHP,Continuous enrollment,1,1,42.5000,42.5000,percent,percent,incurred_calendar_year,incurred_calendar_year,enrolled_members,enrolled_members,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,members_with_episode_pct,2025,PPO,All enrolled,1,1,37.3656,37.3656,percent,percent,incurred_calendar_year,incurred_calendar_year,enrolled_members,members_with_claims,providers=all;status=eligible,providers=all;status=eligible,,0.01,,definition_mismatch,True,definition_mismatch,"[{""field"": ""denominator"", ""source"": ""enrolled_members"", ""target"": ""members_with_claims""}]"
synthetic,members_with_episode_pct,2025,PPO,Continuous enrollment,1,1,28.8462,28.8462,percent,percent,incurred_calendar_year,incurred_calendar_year,enrolled_members,enrolled_members,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,pmpm,2024,HDHP,All enrolled,1,1,811.5842,811.5842,USD/member/month,USD/member/month,incurred_calendar_year,incurred_calendar_year,enrolled_member_months,enrolled_member_months,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,pmpm,2024,HDHP,Continuous enrollment,1,1,864.3400,864.3450,USD/member/month,USD/member/month,incurred_calendar_year,incurred_calendar_year,enrolled_member_months,enrolled_member_months,providers=all;status=eligible,providers=all;status=eligible,0.0050,0.01,0.0006,within_tolerance,False,,[]
synthetic,pmpm,2024,PPO,All enrolled,1,1,701.4185,701.4185,USD/member/month,USD/member/month,incurred_calendar_year,incurred_calendar_year,enrolled_member_months,enrolled_member_months,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,pmpm,2024,PPO,Continuous enrollment,1,1,674.0900,674.0900,USD/member/month,USD/member/month,incurred_calendar_year,incurred_calendar_year,enrolled_member_months,enrolled_member_months,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,pmpm,2025,HDHP,All enrolled,1,1,723.3308,723.3308,USD/member/month,USD/member/month,incurred_calendar_year,incurred_calendar_year,enrolled_member_months,enrolled_member_months,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,pmpm,2025,HDHP,Continuous enrollment,1,1,732.2100,732.2100,USD/member/month,USD/member/month,incurred_calendar_year,incurred_calendar_year,enrolled_member_months,enrolled_member_months,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,pmpm,2025,PPO,All enrolled,1,1,992.4516,996.6516,USD/member/month,USD/member/month,incurred_calendar_year,incurred_calendar_year,enrolled_member_months,enrolled_member_months,providers=all;status=eligible,providers=all;status=eligible,4.2000,0.01,0.4232,value_mismatch,True,value_mismatch,[]
synthetic,pmpm,2025,PPO,Continuous enrollment,1,1,1009.5000,1009.5000,USD/member/month,USD/member/month,incurred_calendar_year,incurred_calendar_year,enrolled_member_months,enrolled_member_months,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,risk_score,2024,HDHP,All enrolled,1,1,1.0989,1.0989,score,score,incurred_calendar_year,incurred_calendar_year,scored_members,scored_members,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.001,0.0000,exact_match,False,,[]
synthetic,risk_score,2024,HDHP,Continuous enrollment,1,1,1.2780,1.2790,score,score,incurred_calendar_year,incurred_calendar_year,scored_members,scored_members,providers=all;status=eligible,providers=all;status=eligible,0.0010,0.001,0.0782,within_tolerance,False,,[]
synthetic,risk_score,2024,PPO,All enrolled,1,1,0.9866,0.9866,score,score,incurred_calendar_year,incurred_calendar_year,scored_members,scored_members,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.001,0.0000,exact_match,False,,[]
synthetic,risk_score,2024,PPO,Continuous enrollment,1,1,1.0570,1.0570,score,score,incurred_calendar_year,incurred_calendar_year,scored_members,scored_members,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.001,0.0000,exact_match,False,,[]
synthetic,risk_score,2025,HDHP,All enrolled,1,1,0.9975,0.9975,score,score,incurred_calendar_year,incurred_calendar_year,scored_members,scored_members,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.001,0.0000,exact_match,False,,[]
synthetic,risk_score,2025,HDHP,Continuous enrollment,1,1,0.8920,0.8920,score,score,incurred_calendar_year,incurred_calendar_year,scored_members,scored_members,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.001,0.0000,exact_match,False,,[]
synthetic,risk_score,2025,PPO,All enrolled,1,2,1.3816,,score,,incurred_calendar_year,,scored_members,,providers=all;status=eligible,,,,,duplicate_target,True,duplicate_target,[]
synthetic,risk_score,2025,PPO,Continuous enrollment,1,1,1.2490,1.2490,score,score,incurred_calendar_year,incurred_calendar_year,scored_members,scored_members,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.001,0.0000,exact_match,False,,[]
